FY,Insurer,pending_start_count,pending_start_amount,intimated_count,intimated_amount,total_claims_count,total_claims_amount,paid_count,paid_amount,repudiated_count,repudiated_amount,rejected_count,rejected_amount,unclaimed_count,unclaimed_amount,pending_end_count,pending_end_amount,pending_lt_3m,pending_3_to_6m,pending_6m_to_1y,pending_gt_1y
2023-24,Aditya Birla Sun Life,0,0,6304,525.5700114240002,6304,525.5700114240002,6203,496.5150084559992,95,26.426531333,0,0,0,0,6,2.628471635001016,6,0,0,0
2023-24,Bandhan,0,0.01,295,84.88532027100001,295,84.89532027100002,294,79.921128356,1,4.9705205,0,0,0,0,0,0.003671415000019884,0,0,0,0
2023-24,Ageas Federal,12,2.20239108,1213,72.65407934250004,1225,74.85647042250004,1182,66.64908304819997,38,6.014925854299999,0,0,0,0,5,2.19246152000007,5,0,0,0
2023-24,Aviva,0,0,783,106.04,783,106.04,775,105.24,8,0.8,0,0,0,0,0,-2.886579864025407e-15,0,0,0,0
2023-24,Bajaj Allianz,4,3.688001,14805,658.4046497201,14809,662.0926507201,14695,615.1774949391,110,38.18776538100001,0,0,0,0,4,8.727390399999948,4,0,0,0
2023-24,Bharti Axa ,0,0,2016,142.6476243826926,2016,142.6476243826926,1996,137.6224079469366,20,5.025216433,0,0,0,0,0,2.755993655512157e-09,0,0,0,0
2023-24,Credit Access Life,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,Canara HSBC,2,1.05,2461,210.3552301260003,2463,211.4052301260003,2444,206.9292812970005,17,3.603815529,0,0,0,0,2,0.8721332999997475,2,0,0,0
2023-24,Edelweiss Life,0,0,522,64.12515328699999,522,64.12515328699999,518,62.91,4,1.2193797,0,0,0,0,0,-0.004226413000007145,0,0,0,0
2023-24,Future Generali,0,0,969,39.33946974399999,969,39.33946974399999,931,36.14365235300002,37,2.954317391,0,0,1,0.2415,0,-2.992051051364797e-14,0,0,0,0
2023-24,Godigit Life,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,HDFC Life,4,5.500000099999895,19432,1649.622493348001,19436,1655.122493448001,19338,1583.995421448006,90,59.7216759,0,0,0,0,8,11.40539609999431,5,0,3,0
2023-24,ICICI Prudential,20,6.766784243999997,13503,1883.651764261,13523,1890.418548505,13411,1866.877790205,108,22.147376,0,0,1,1.19851,3,0.1948723000001056,0,0,1,2
2023-24,India First,10,4.036056208000099,3356,185.9984351129996,3366,190.0344913209997,3300,178.2968789449997,59,8.619812375999999,0,0,0,0,7,3.117799999999988,3,0,0,4
2023-24,Kotak Mahindra ,11,5.390292019,4364,349.520950601,4375,354.91124262,4300,335.7134930709981,68,13.335956529,0,0,0,0,7,5.861793020001855,5,1,0,1
2023-24,Axis Max Life,0,0,19638,1291.826966673999,19638,1291.826966673999,19569,1254.387943363998,69,37.439023341,0,0,0,0,0,-3.099881951129646e-08,0,0,0,0
2023-24,PNB Met Life,1,0.032471096,5724,474.2862846439999,5725,474.3187557399999,5679,462.1959041329994,46,12.122851607,0,0,0,0,0,4.849454171562684e-13,0,0,0,0
2023-24,Pramerica Life,0,0,741,32.43521256085654,741,32.43521256085654,734,31.48557454,6,0.8754300015554691,0,0,0,0,1,0.07420801930107424,1,0,0,0
2023-24,Reliance Nippon,1,0.7686692769999999,8174,224.3689044030004,8175,225.1375736800003,8072,212.5285537000012,88,9.796265560999998,0,0,4,0.362068384,11,2.45068603499912,9,0,2,0
2023-24,Sahara,,,,,,,,,,,,,,,,,,,,
2023-24,SBI Life ,35,4.854585721000001,38362,2024.461001641053,38397,2029.315587362053,37724,1948.913076803,527,53.9510967,0,0,28,2.870921140000001,118,23.58049271905355,62,28,28,0
2023-24,Shriram,5,0.340452296,3868,144.8281499513333,3873,145.1686022473333,3799,116.381865560333,42,15.851377798,26,12.64058812,0,0,6,0.2947707690003121,6,0,0,0
2023-24,Star Union,3,0.6174999999999999,1989,123.8730901080003,1992,124.4905901080003,1958,120.7125035640003,31,2.973086544,0,0,0,0,3,0.8050000000000179,3,0,0,0
2023-24,Tata AIA,0,0,6431,1131.216458676,6431,1131.216458676,6375,1086.146440012,54,37.00689186399999,0,0,0,0,2,8.063126799999928,1,0,1,0
2024-25,LIC ,275,344.05,868811,21298.08,869086,21642.13,848145,20793.37,9137,593.2699999999999,6827,8.37,187,30.29,4790,216.8300000000022,335,184,0,4271
2024-25,Acko Life,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-25,Aditya Birla Sun Life,6,2.628471635771075,6355,625.7281268459993,6361,628.3565984817704,6275,604.5768717959992,80,21.15125505,0,0,0,0,6,2.628471635771263,0,0,0,6
2024-25,Bandhan,0,0.00531434,365,123.737927207,365,123.743241547,364,123.493506347,1,0.2497352,0,0,0,0,0,3.497202527569243e-15,0,0,0,0
2024-25,Ageas Federal,5,2.19246152000007,1140,78.5505236773,1145,80.74298519730007,1128,77.37383171930001,14,2.218614978,0,0,0,0,3,1.150538500000058,3,0,0,0
2024-25,Aviva,0,0,754,107.93838,754,107.93838,747,106.2758508,7,1.6625292,0,0,0,0,0,8.659739592076221e-15,0,0,0,0
2024-25,Bajaj Allianz,4,8.727390399999948,14090,918.5669304701826,14094,927.2943208701826,13994,862.7858247631821,96,57.18849610700001,0,0,0,0,4,7.320000000000491,4,0,0,0
2024-25,Bharti Axa ,0,0,2085,166.0325116014664,2085,166.0325116014664,2068,163.3945789944563,17,2.63793260701,0,0,0,0,0,7.194245199571014e-14,0,0,0,0
2024-25,Credit Access Life,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-25,Canara HSBC,2,0.872133333,2785,259.464974432,2787,260.337107765,2771,257.9386426179999,16,2.398465147,0,0,0,0,0,8.126832540256146e-14,0,0,0,0
2024-25,Edelweiss Life,0,0,560,70.19110468705429,560,70.19110468705429,556,69.02911817505426,4,1.161986512,0,0,0,0,0,2.708944180085382e-14,0,0,0,0
2024-25,Future Generali,0,0,938,43.07875642099999,938,43.07875642099999,920,41.464898275,14,1.582898146,4,0.02046,0,0.0105,0,-1.588833231647158e-14,0,0,0,0
2024-25,Godigit Life,0,0,3,0.4902626,3,0.4902626,0,0,2,0.2402626,0,0,0,0,1,0.25,1,0,0,0
2024-25,HDFC Life,8,11.40539609999431,19721,2091.758035299998,19729,2103.163431399993,19666,2060.274631400005,58,39.1388,0,0,0,0,5,3.749999999987438,3,0,1,1
2024-25,ICICI Prudential,3,0.1948743,12402,1849.591093721,12405,1849.785968021,12319,1813.952740021,82,30.879464,0,0,0,0.70186092981,4,4.251903070189961,2,1,0,1
2024-25,India First,7,3.1178,3699,193.4207008059999,3706,196.5385008059999,3640,188.6409101469998,61,6.762684883,0,0,0,0,5,1.134905776000059,1,0,0,4
2024-25,Kotak Mahindra ,7,5.86179302,4671,386.7206261279996,4678,392.5824191479996,4613,376.3893816849989,62,15.270075803,0,0,0,0,3,0.9229616600006807,3,0,0,0
2024-25,Axis Max Life,0,0,20225,1490.985458676899,20225,1490.985458676899,20165,1452.107955052399,60,38.877503693,0,0,0,0,0,-6.850053324569672e-08,0,0,0,0
2024-25,PNB Met Life,0,0,5639,434.3765117269998,5639,434.3765117269998,5615,431.3495001239995,24,3.027011603,0,0,0,0,0,2.895461648222408e-13,0,0,0,0
2024-25,Pramerica Life,1,0.0742080548999995,727,35.2564204859837,728,35.3306285408837,722,34.57698542562275,4,0.5724459885500945,1,0.055,0,0,1,0.126197126710855,1,0,0,0
2024-25,Reliance Nippon,11,2.450686034999233,8365,244.1346782430005,8376,246.5853642779998,8286,226.9463593960007,88,18.7564636,0,0,1,0.0747250549999992,1,0.8078162269990612,1,0,0,0
2024-25,Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-25,SBI Life ,118,23.58049271906589,44831,2598.751946600998,44949,2622.332439320064,44205,2497.939507625004,524,76.51070999999999,0,0,55,7.610101648999998,165,40.27212004605983,106,23,34,2
2024-25,Shriram,6,0.29477068,4846,180.195624742,4852,180.490395422,4770,147.476985583,68,22.664799802,7,10.150834012,0,0,7,0.1977760249999321,7,0,0,0
2024-25,Star Union,3,0.805,2410,144.38475778,2413,145.18975778,2385,140.73880778,26,3.8752,0,0,0,0,2,0.575750000000006,2,0,0,0
2024-25,Tata AIA,2,8.063126799999928,8575,1238.931211730995,8577,1246.994338530995,8526,1226.742754235996,49,17.753274295,0,0,0,0,2,2.498309999999702,2,0,0,0
